Page	Channel	Label	MinValue	MaxValue
0	I(127)	127I	0.00	85.00
1	Xe(131)	131Xe	0.00	86.00
2	Ba(138)	138Ba	0.00	182.00
3	Pr(141)	141Pr_SMA	0.00	1232.00
4	Nd(143)	143Nd_Vimentin	0.00	415.00
5	Nd(148)	148Nd_PanKeratin	0.00	641.00
6	Sm(149)	149Sm_H3K4me3	0.00	290.00
7	Nd(150)	150Nd_PDL1	0.00	10757.00
8	Gd(152)	152Gd	0.00	10.00
9	Eu(153)	153Eu_CD44	0.00	1122.00
10	Gd(155)	155Gd_FoxP3	0.00	98.00
11	Gd(156)	156Gd_CD4	0.00	256.00
12	Gd(158)	158Gd_ECadherin	0.00	1444.00
13	Tb(159)	159Tb_CD68	0.00	342.00
14	Dy(161)	161Dy_CD20	0.00	485.00
15	Dy(162)	162Dy_CD8a	0.00	453.00
16	Ho(165)	165Ho_PD1	0.00	62.00
17	Er(167)	167Er_GranzymeB	0.00	112.00
18	Er(168)	168Er_Ki67	0.00	81.00
19	Tm(169)	169Tm_Col1	0.00	486.00
20	Er(170)	170Er_CD3	0.00	166.00
21	Yb(171)	171Yb_Histone3	0.00	12469.00
22	Yb(173)	173Yb_CD45RO	0.00	7809.00
23	Lu(175)	175Lu_MHCII	0.00	4909.00
24	BCKG(190)	190BCKG	0.00	11.00
25	Ir(191)	191Ir	0.00	694.00
26	Ir(193)	193Ir	0.00	1127.00
27	Pb(208)	208Pb	0.00	3478.00
